BRL1;BRL2;BRL3;BRL4;BRL5;BRL6;BRL7;BRL8;BRL9;BRW1;BRW2;BRW3;BRW4;BRW5;CON1;CON2;CON3;CON4;CON5;CON6;EWOM1;EWOM2;EWOM3;EWOM4;EWOM5;PRC1;PRC2;PRC3;PRC4;PRC5;WTP1;WTP2
3;3;1;1;3;3;2;2;2;5;5;5;4;4;3;3;4;4;4;4;5;4;5;5;4;4;5;4;4;4;5;5
3;4;3;4;4;3;4;4;4;4;5;4;4;4;5;5;5;5;4;4;5;5;4;5;5;4;5;4;4;4;5;5
4;4;3;4;4;3;5;5;5;4;5;5;5;4;2;1;2;4;4;4;4;2;4;4;3;4;5;5;5;5;4;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;4;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
3;4;4;4;4;3;2;2;2;3;4;4;4;3;5;4;4;4;5;4;5;5;5;5;4;3;4;3;3;3;4;5
4;4;4;4;4;3;3;4;4;4;4;3;4;4;5;4;4;4;4;5;4;4;4;3;3;4;4;4;4;4;4;5
4;4;4;3;3;3;3;3;4;4;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;3;3;4;5;5
4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;5;4;4;5;4;5;4;4;5;4;4;4;4;5;5
4;4;5;4;5;4;5;5;5;5;4;4;5;4;4;4;3;4;4;3;4;5;4;4;4;4;4;4;4;4;5;5
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
5;5;5;5;3;3;3;5;5;3;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;3;5;4;4;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
4;4;4;3;4;3;4;4;4;3;3;3;4;4;4;4;4;4;5;5;4;4;4;4;4;3;3;4;4;4;5;5
4;4;2;3;3;3;3;4;4;1;4;1;3;1;4;4;4;5;5;5;5;5;5;5;5;5;5;1;2;5;4;4
5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;4;5;4;4;4;5;5;5;5;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
1;2;2;1;3;3;2;4;5;3;2;3;3;3;4;3;3;5;5;4;5;5;5;5;4;5;4;3;4;4;5;5
4;5;4;5;4;5;4;4;5;4;5;4;4;4;4;4;5;5;4;4;4;4;4;5;5;5;4;4;4;4;4;4
2;3;2;2;2;2;2;2;2;3;3;3;3;4;3;3;3;4;4;3;4;4;4;4;3;4;3;4;3;4;3;4
5;5;4;3;4;4;2;4;5;1;2;3;3;4;3;4;3;4;4;4;5;4;4;5;5;2;3;3;3;4;4;4
4;4;4;2;4;4;4;4;4;1;1;2;1;1;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;4;4
4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;4;3;4;5;3;4;5;5;4;4;5;5;4;5;4;4;5;5;4;5;5;5;5;4;5;5;4;4;5;5;5
4;4;4;4;4;5;5;4;5;4;4;4;4;4;4;4;4;4;4;4;5;5;4;4;4;5;5;4;4;5;4;4
5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
4;4;4;4;3;3;3;4;4;3;3;4;4;4;5;5;4;5;5;5;4;5;4;4;4;4;4;4;4;4;5;5
5;4;4;4;4;4;4;5;5;4;4;4;4;4;3;4;5;5;5;5;5;5;5;5;4;4;4;3;4;4;5;5
4;4;4;4;4;4;4;5;4;5;4;4;4;4;5;5;4;4;5;5;5;5;5;5;5;4;4;4;4;4;4;4
